1;Abadia de Goiás;GO;0.708;0.687;0.830;0.622
2;Abadia dos Dourados;MG;0.689;0.693;0.839;0.563
3;Abadiânia;GO;0.689;0.671;0.841;0.579
4;Abaeté;MG;0.698;0.720;0.848;0.556
5;Abaetetuba;PA;0.628;0.579;0.798;0.537
6;Abaiara;CE;0.628;0.540;0.748;0.612
7;Abaíra;BA;0.603;0.577;0.746;0.510
8;Abaré;BA;0.575;0.533;0.776;0.460
9;Abatiá;PR;0.687;0.676;0.804;0.596
10;Abdon Batista;SC;0.694;0.660;0.812;0.625
11;Abel Figueiredo;PA;0.622;0.625;0.800;0.481
12;Abelardo Luz;SC;0.696;0.684;0.852;0.578
13;Abre Campo;MG;0.654;0.646;0.823;0.525
14;Abreu E Lima;PE;0.679;0.625;0.791;0.632
15;Abreulândia;TO;0.665;0.700;0.835;0.502
16;Acaiaca;MG;0.630;0.610;0.823;0.499
17;Açailândia;MA;0.672;0.643;0.785;0.602
18;Acajutiba;BA;0.582;0.560;0.723;0.487
19;Acará;PA;0.506;0.517;0.757;0.332
20;Acarape;CE;0.606;0.559;0.709;0.562
21;Acaraú;CE;0.601;0.554;0.758;0.517
22;Acari;RN;0.679;0.633;0.779;0.634
23;Acauã;PI;0.528;0.517;0.692;0.411
24;Aceguá;RS;0.687;0.703;0.852;0.541
25;Acopiara;CE;0.595;0.563;0.724;0.517
26;Acorizal;MT;0.628;0.594;0.816;0.510
27;Acrelândia;AC;0.604;0.584;0.808;0.466
28;Acreúna;GO;0.686;0.710;0.822;0.553
29;Açu;RN;0.661;0.641;0.795;0.568
30;Açucena;MG;0.610;0.595;0.844;0.451
31;Adamantina;SP;0.790;0.772;0.852;0.750
32;Adelândia;GO;0.702;0.664;0.836;0.622
33;Adolfo;SP;0.730;0.710;0.844;0.648
34;Adrianópolis;PR;0.667;0.644;0.817;0.563
35;Adustina;BA;0.546;0.526;0.718;0.432
36;Afogados da Ingazeira;PE;0.657;0.623;0.807;0.565
37;Afonso Bezerra;RN;0.585;0.560;0.713;0.502
38;Afonso Cláudio;ES;0.667;0.661;0.825;0.544
39;Afonso Cunha;MA;0.529;0.471;0.725;0.434
40;Afrânio;PE;0.588;0.542;0.761;0.493
41;Afuá;PA;0.489;0.485;0.774;0.311
42;Agrestina;PE;0.592;0.581;0.760;0.470
43;Agricolândia;PI;0.599;0.550;0.742;0.526
44;Agrolândia;SC;0.725;0.727;0.827;0.633
45;Agronômica;SC;0.741;0.774;0.884;0.595
46;Água Azul do Norte;PA;0.564;0.563;0.797;0.399
47;Água Boa;MG;0.576;0.594;0.799;0.403
48;Água Boa;MT;0.729;0.723;0.829;0.646
49;Água Branca;AL;0.549;0.527;0.728;0.432
50;Água Branca;PB;0.572;0.542;0.712;0.484
51;Água Branca;PI;0.639;0.600;0.763;0.569
52;Água Clara;MS;0.670;0.705;0.823;0.518
53;Água Comprida;MG;0.675;0.719;0.860;0.498
54;Água Doce;SC;0.698;0.724;0.820;0.574
55;Água Doce do Maranhão;MA;0.500;0.494;0.697;0.363
56;Água Doce do Norte;ES;0.652;0.619;0.819;0.546
57;Água Fria;BA;0.550;0.529;0.747;0.422
58;Água Fria de Goiás;GO;0.671;0.672;0.817;0.550
59;Água Limpa;GO;0.722;0.691;0.821;0.663
60;Água Nova;RN;0.616;0.527;0.776;0.572
61;Água Preta;PE;0.553;0.514;0.761;0.432
62;Água Santa;RS;0.750;0.840;0.850;0.590
63;Aguaí;SP;0.715;0.703;0.858;0.606
